row,device,ace_text
0,HueBulbMud,egress controller:gateway ipv4 udp dst-port:67
1,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:www.ecdinterface.philips.com dst-port:80
2,HueBulbMud,egress local ipv4 igmp dst:224.0.0.22/32
3,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:www2.meethue.com dst-port:443
4,HueBulbMud,egress local ipv4 udp dst:239.255.255.250/32 dst-port:1900
5,HueBulbMud,egress local eth:0x0800 mac:ff:ff:ff:ff:ff:ff ipv4 udp dst:255.255.255.255/32 dst-port:67
6,HueBulbMud,egress ipv4 udp dst:time2.google.com dst-port:123
7,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:dcp.cpp.philips.com dst-port:80
8,HueBulbMud,egress ipv4 udp dst:time4.google.com dst-port:123
9,HueBulbMud,egress local ipv4 udp dst:224.0.0.251/32 dst-port:5353
10,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:time.meethue.com dst-port:443
11,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:diagnostics.meethue.com dst-port:80
12,HueBulbMud,egress controller:dns ipv4 udp dst-port:53
13,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:ws.meethue.com dst-port:443
14,HueBulbMud,egress ipv4 udp dst:time3.google.com dst-port:123
15,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:fds.cpp.philips.com dst-port:80
16,HueBulbMud,egress ipv4 udp dst:time1.google.com dst-port:123
17,HueBulbMud,egress ipv4 tcp (direction-initiated:from-device) dst:bridge.meethue.com dst-port:80
18,HueBulbMud,egress local ipv4 tcp src-port:80
19,HueBulbMud,ingress controller:dns ipv4 udp src-port:53
20,HueBulbMud,ingress ipv4 udp src:time4.google.com src-port:123
21,HueBulbMud,ingress ipv4 tcp src:ws.meethue.com src-port:443
22,HueBulbMud,ingress ipv4 udp src:time2.google.com src-port:123
23,HueBulbMud,ingress ipv4 tcp src:diagnostics.meethue.com src-port:80
24,HueBulbMud,ingress ipv4 tcp src:dcp.cpp.philips.com src-port:80
25,HueBulbMud,ingress ipv4 tcp src:www.ecdinterface.philips.com src-port:80
26,HueBulbMud,ingress ipv4 tcp src:bridge.meethue.com src-port:80
