flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-11-10 16:58:36.072071,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
2,2016-11-10 16:58:41.242095,192.168.1.152,192.168.1.1,17,30000,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
3,2016-11-10 16:58:41.242224,192.168.1.152,8.8.8.8,17,30000,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
4,2016-11-10 16:58:41.243686,192.168.1.152,91.121.171.187,17,123,123,egress,True,,egress ipv4 udp dst:pool.ntp.org dst-port:123
5,2016-11-10 16:58:41.549731,192.168.1.152,192.168.1.1,17,30001,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
6,2016-11-10 16:58:41.550512,192.168.1.152,8.8.8.8,17,30001,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
7,2016-11-10 16:58:41.723249,192.168.1.152,54.244.22.196,6,42770,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:timeserver.awair.is dst-port:443
8,2016-11-10 16:58:45.352296,192.168.1.152,192.168.1.1,17,30002,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
9,2016-11-10 16:58:45.352426,192.168.1.152,8.8.8.8,17,30002,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
10,2016-11-10 16:58:45.512824,192.168.1.152,52.10.170.220,6,42771,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.awair.is dst-port:443
11,2016-11-10 16:58:53.783016,192.168.1.152,192.168.1.1,17,30003,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
12,2016-11-10 16:58:53.783747,192.168.1.152,8.8.8.8,17,30003,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
13,2016-11-10 16:58:53.943962,192.168.1.152,52.43.229.211,6,42772,8883,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:messaging.awair.is dst-port:8883
14,2016-11-10 17:58:47.796905,192.168.1.152,192.168.1.1,17,30004,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
15,2016-11-10 17:58:47.797973,192.168.1.152,8.8.8.8,17,30004,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
16,2016-11-10 17:58:47.799021,192.168.1.152,110.21.101.199,17,123,123,egress,True,,egress ipv4 udp dst:pool.ntp.org dst-port:123
17,2016-11-10 17:58:47.822566,192.168.1.152,192.168.1.1,17,30005,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
18,2016-11-10 17:58:47.826208,192.168.1.152,8.8.8.8,17,30005,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
19,2016-11-10 17:58:47.983057,192.168.1.152,54.244.22.196,6,42773,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:timeserver.awair.is dst-port:443
20,2016-11-10 18:58:47.863495,192.168.1.152,192.168.1.1,17,30006,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
21,2016-11-10 18:58:47.864406,192.168.1.152,8.8.8.8,17,30006,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
22,2016-11-10 18:58:47.865571,192.168.1.152,203.122.222.149,17,123,123,egress,True,,egress ipv4 udp dst:pool.ntp.org dst-port:123
23,2016-11-10 18:58:47.891149,192.168.1.152,192.168.1.1,17,30007,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
24,2016-11-10 18:58:47.891279,192.168.1.152,8.8.8.8,17,30007,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
25,2016-11-10 18:58:48.05363,192.168.1.152,54.244.22.196,6,42774,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:timeserver.awair.is dst-port:443
26,2016-11-10 19:58:47.929606,192.168.1.152,192.168.1.1,17,30008,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
27,2016-11-10 19:58:47.930523,192.168.1.152,8.8.8.8,17,30008,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
28,2016-11-10 19:58:47.931986,192.168.1.152,54.252.161.68,17,123,123,egress,True,,egress ipv4 udp dst:pool.ntp.org dst-port:123
29,2016-11-10 19:58:47.938255,192.168.1.152,192.168.1.1,17,30009,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
30,2016-11-10 19:58:47.938374,192.168.1.152,8.8.8.8,17,30009,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
31,2016-11-10 19:58:48.098784,192.168.1.152,52.34.186.24,6,42775,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:timeserver.awair.is dst-port:443
32,2016-11-10 20:58:47.995482,192.168.1.152,192.168.1.1,17,30010,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
33,2016-11-10 20:58:47.99666,192.168.1.152,8.8.8.8,17,30010,53,egress,True,,egress ipv4 udp dst:8.8.8.8/32 dst-port:53
34,2016-11-10 20:58:47.999541,192.168.1.152,103.18.128.60,17,123,123,egress,True,,egress ipv4 udp dst:pool.ntp.org dst-port:123
