flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-10-04 11:50:02.263576,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
2,2016-10-04 11:50:05.113604,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
3,2016-10-04 11:50:05.121012,192.168.1.131,192.168.1.1,17,4096,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
4,2016-10-04 11:50:05.691368,192.168.1.131,65.182.180.12,6,4302,8777,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:tech.carematix.com dst-port:8777
5,2017-02-02 08:42:26.843243,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
6,2017-02-02 08:42:29.041606,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
7,2017-02-02 08:42:31.255064,192.168.1.131,192.168.1.1,17,4096,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
8,2017-02-02 08:46:45.81966,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
9,2017-02-02 08:46:45.82084,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
10,2017-02-02 08:49:05.897998,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
11,2017-02-02 08:49:05.898812,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
12,2017-02-02 08:49:12.240298,192.168.1.131,192.168.1.1,17,4096,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
13,2017-02-02 08:54:32.754351,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
14,2017-02-02 08:54:32.755185,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
15,2017-02-02 08:54:34.727041,192.168.1.131,192.168.1.1,17,4096,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
16,2017-02-02 08:54:35.059015,192.168.1.131,65.182.180.12,6,4235,8777,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:tech.carematix.com dst-port:8777
17,2017-03-03 10:35:31.26801,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
18,2017-03-03 10:35:34.023061,192.168.1.131,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
