flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-09-30 19:30:52.537793,192.168.1.236,15.72.162.53,6,21787,5222,egress,True,,egress ipv4 tcp (direction-initiated:from-device) dst:xmpp006.hpeprint.com dst-port:5222
2,2016-09-30 21:58:32.962177,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
3,2016-09-30 23:47:32.902026,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
4,2016-10-01 01:28:05.491015,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
5,2016-10-01 01:32:34.255206,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
6,2016-10-01 03:12:26.513774,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
7,2016-10-01 04:23:00.789313,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
8,2016-10-01 06:06:55.265964,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
9,2016-10-01 07:00:30.666872,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
10,2016-10-01 07:53:51.438898,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
11,2016-10-01 09:25:49.739342,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
12,2016-10-01 10:53:22.692094,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
13,2016-10-01 12:00:31.560863,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
14,2016-10-01 12:36:57.773358,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
15,2016-10-01 12:45:41.672947,192.168.1.236,192.168.1.1,17,52847,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
16,2016-10-01 12:45:42.158452,192.168.1.236,192.168.1.1,17,53601,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
17,2016-10-01 12:45:42.857917,192.168.1.236,15.48.64.159,6,15113,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:chat.hpeprint.com dst-port:443
18,2016-10-01 13:37:33.208617,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
19,2016-10-01 15:10:56.283302,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
20,2016-10-01 16:32:29.076662,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
21,2016-10-01 17:53:33.80802,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
22,2016-10-01 18:11:24.243234,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
23,2016-10-01 19:50:19.423821,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
24,2016-10-01 21:03:39.162478,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
25,2016-10-01 22:24:29.717103,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
26,2016-10-01 23:31:09.983856,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
27,2016-10-02 00:07:04.399091,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
28,2016-10-02 01:46:09.094177,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
29,2016-10-02 01:54:13.40331,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
30,2016-10-02 02:53:38.593296,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
31,2016-10-02 03:45:12.864494,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
32,2016-10-02 05:04:05.941225,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
33,2016-10-02 06:31:15.793903,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
34,2016-10-02 07:57:37.905498,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
35,2016-10-02 08:25:06.463806,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
36,2016-10-02 09:40:01.74361,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
37,2016-10-02 10:40:06.3314,192.168.1.236,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
38,2016-10-02 11:34:48.881395,192.168.1.236,15.72.162.53,6,21787,5222,ingress,False,,ingress ipv4 tcp src:xmpp006.hpeprint.com src-port:5222
39,2016-10-02 12:45:35.701185,192.168.1.236,192.168.1.1,17,51441,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
