flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2017-03-02 07:56:58.479206,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
2,2017-03-02 07:57:01.149614,192.168.1.241,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
3,2017-03-02 07:57:05.877107,192.168.1.241,192.168.1.1,17,49153,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
4,2017-03-02 07:57:06.485216,192.168.1.241,52.84.207.23,6,52597,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:firmware.toytalk.com dst-port:443
5,2017-03-02 07:57:08.506424,192.168.1.241,50.19.213.155,6,52598,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
6,2017-03-02 07:57:10.26243,192.168.1.241,50.19.213.155,6,52599,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
7,2017-03-02 07:57:12.366431,192.168.1.241,52.84.207.230,6,52600,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
8,2017-03-02 07:59:25.110023,192.168.1.241,52.84.207.230,6,52600,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
9,2017-03-02 07:59:25.1113,192.168.1.241,192.168.1.1,17,49153,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
10,2017-03-02 07:59:26.165774,192.168.1.241,52.84.207.121,6,52601,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
11,2017-03-02 08:00:00.152159,192.168.1.241,52.84.207.121,6,52602,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
12,2017-03-02 08:00:31.754745,192.168.1.241,52.84.207.10,6,52603,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
13,2017-03-02 08:01:02.504426,192.168.1.241,52.84.207.10,6,52604,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
14,2017-03-02 08:01:34.013613,192.168.1.241,52.84.207.121,6,52605,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
15,2017-03-02 08:02:05.787572,192.168.1.241,52.84.207.121,6,52606,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
16,2017-03-02 08:02:12.668921,192.168.1.241,50.19.213.155,6,52599,443,ingress,False,True,ingress ipv4 tcp src:puppeteer.toytalk.com src-port:443
17,2017-03-02 08:02:20.011206,192.168.1.241,184.72.250.146,6,52607,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
18,2017-03-02 08:02:37.313354,192.168.1.241,52.84.207.10,6,52608,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
19,2017-03-03 10:11:06.331789,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
20,2017-03-03 10:11:09.086545,192.168.1.241,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
21,2017-03-03 10:11:10.54518,192.168.1.241,192.168.1.1,17,49153,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
22,2017-03-03 10:11:11.347938,192.168.1.241,50.19.213.155,6,59958,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
23,2017-03-03 10:11:13.114274,192.168.1.241,50.19.213.155,6,59959,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
24,2017-03-03 10:11:15.204763,192.168.1.241,52.84.207.39,6,59960,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
25,2017-03-03 10:13:17.812122,192.168.1.241,52.84.207.39,6,59960,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
26,2017-03-03 10:13:17.813866,192.168.1.241,192.168.1.1,17,49153,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
27,2017-03-03 10:13:19.908035,192.168.1.241,52.84.207.184,6,59961,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
28,2017-03-03 10:13:50.279034,192.168.1.241,52.84.207.184,6,59962,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
29,2017-03-03 10:14:25.192888,192.168.1.241,52.84.207.10,6,59963,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
30,2017-03-03 10:14:56.430221,192.168.1.241,52.84.207.10,6,59964,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
31,2017-03-03 10:15:27.765428,192.168.1.241,52.84.207.146,6,59965,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:firmware.toytalk.com dst-port:443
32,2017-03-03 10:15:58.383215,192.168.1.241,52.84.207.146,6,59966,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:firmware.toytalk.com dst-port:443
33,2017-03-03 10:16:15.667207,192.168.1.241,50.19.213.155,6,59959,443,ingress,False,True,ingress ipv4 tcp src:puppeteer.toytalk.com src-port:443
34,2017-03-03 10:16:23.970893,192.168.1.241,184.72.250.146,6,59967,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
35,2017-03-03 10:16:29.779289,192.168.1.241,52.84.207.230,6,59968,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
36,2017-03-03 10:17:01.368502,192.168.1.241,52.84.207.230,6,59969,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
37,2017-03-03 10:17:33.611935,192.168.1.241,52.84.207.121,6,59970,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
38,2017-03-03 10:18:04.545444,192.168.1.241,52.84.207.121,6,59971,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
39,2017-03-03 10:18:35.774014,192.168.1.241,52.84.207.121,6,59972,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
40,2017-03-03 10:19:06.232935,192.168.1.241,52.84.207.121,6,59973,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
41,2017-03-03 10:19:37.867122,192.168.1.241,52.84.207.175,6,59974,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
42,2017-03-03 10:19:52.941435,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
43,2017-03-03 10:19:52.942566,192.168.1.241,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
44,2017-03-03 10:19:57.216705,192.168.1.241,184.72.250.146,6,60486,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
45,2017-03-03 10:19:58.932853,192.168.1.241,184.72.250.146,6,60487,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:puppeteer.toytalk.com dst-port:443
46,2017-03-03 10:20:01.399415,192.168.1.241,52.84.207.175,6,60488,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:storage.toytalk.com dst-port:443
47,2017-03-07 10:30:43.381192,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
48,2017-03-07 10:30:46.135892,192.168.1.241,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
