flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,1970-07-15 04:36:50.222077,192.168.1.106,52.87.241.159,6,33508,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
2,1990-11-26 11:32:40.582424,192.168.1.106,52.87.241.159,6,33508,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
3,2010-08-10 21:38:05.823506,192.168.1.106,52.87.241.159,6,33508,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
4,2011-08-20 11:59:29.566428,192.168.1.106,52.87.241.159,6,38395,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
5,2016-09-30 19:30:03.344739,192.168.1.106,52.87.241.159,6,47940,443,egress,True,,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
6,2016-09-30 23:31:48.833838,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
7,2016-10-01 05:31:48.616972,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
8,2016-10-01 11:31:48.439417,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
9,2016-10-01 17:31:48.215038,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
10,2016-10-01 23:31:47.996587,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
11,2016-10-02 05:31:47.822383,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
12,2016-10-02 11:31:47.619588,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
13,2016-10-02 17:31:47.429497,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
14,2016-10-02 23:31:47.212726,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
15,2016-10-03 05:31:47.005885,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
16,2016-10-03 07:13:12.519665,192.168.1.106,52.87.241.159,6,47940,443,egress,True,,egress ipv4 tcp (direction-initiated:from-device) dst:oculus689-vir.dropcam.com dst-port:443
17,2016-10-03 11:31:46.846261,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
18,2016-10-03 17:31:46.627512,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
19,2016-10-03 23:31:46.40075,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
20,2016-10-04 05:31:46.183686,192.168.1.106,192.168.1.1,17,68,67,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:67
