flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-09-30 19:30:02.367889,192.168.1.227,54.254.250.149,6,46538,50443,egress,True,,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
2,2016-09-30 19:30:20.152722,192.168.1.227,192.168.1.1,17,56874,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
3,2016-09-30 19:30:20.310565,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
4,2016-09-30 19:34:17.169218,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
5,2016-09-30 19:38:13.457588,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
6,2016-09-30 19:42:09.433991,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
7,2016-09-30 19:46:05.410297,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
8,2016-09-30 19:50:01.703071,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
9,2016-09-30 19:53:57.986998,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
10,2016-09-30 19:57:53.963331,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
11,2016-09-30 20:01:50.015692,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
12,2016-09-30 20:05:45.991995,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
13,2016-09-30 20:09:41.968389,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
14,2016-09-30 20:13:37.944789,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
15,2016-09-30 20:17:33.92103,192.168.1.227,54.254.250.149,6,36914,50443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
16,2016-09-30 20:18:36.340685,192.168.1.227,192.168.1.1,17,60355,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
