flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-09-22 19:31:32.056236,192.168.1.166,192.168.1.1,17,60652,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
2,2016-09-22 19:31:32.619752,192.168.1.166,89.30.121.150,6,41779,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:babyws.withings.net dst-port:80
3,2016-09-22 19:41:33.727774,192.168.1.166,192.168.1.1,17,42317,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
4,2016-09-22 19:41:34.520278,192.168.1.166,89.30.121.150,6,46143,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:babyws.withings.net dst-port:80
5,2016-09-22 19:47:06.869304,192.168.1.166,192.168.1.1,17,39484,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
6,2016-09-22 19:47:07.148029,192.168.1.166,89.30.121.150,6,39687,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:babyws.withings.net dst-port:80
7,2016-09-22 19:47:07.445914,192.168.1.166,192.168.1.1,17,53159,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
8,2016-09-22 19:47:07.726056,192.168.1.166,89.30.121.150,6,39688,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:babyws.withings.net dst-port:80
9,2016-09-22 19:48:08.215981,192.168.1.166,192.168.1.1,17,42340,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
10,2016-09-22 19:48:08.491162,192.168.1.166,89.30.121.150,6,34366,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:babyws.withings.net dst-port:80
11,2016-09-22 19:50:50.564174,192.168.1.166,192.168.1.1,17,54602,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
