flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-11-22 07:16:56.51265,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
2,2016-11-22 07:16:59.211685,192.168.1.230,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
3,2016-11-22 07:16:59.267809,192.168.1.230,192.168.1.1,17,35655,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
4,2016-11-22 07:16:59.278212,192.168.1.230,192.168.1.1,17,55981,123,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:123
5,2016-11-22 07:16:59.418013,192.168.1.230,192.168.1.1,17,42303,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
6,2016-11-22 07:16:59.681083,192.168.1.230,192.168.1.1,17,39277,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
7,2016-11-22 07:16:59.955581,192.168.1.230,54.165.61.246,6,46614,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
8,2016-11-22 07:17:00.794009,192.168.1.230,82.165.8.211,6,54470,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:ipv4.connman.net dst-port:80
9,2016-11-22 07:17:01.519632,192.168.1.230,54.165.61.246,6,46615,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
10,2016-11-22 07:17:02.517627,192.168.1.230,54.165.61.246,6,46617,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
11,2016-11-22 07:17:04.314615,192.168.1.230,192.168.1.1,17,47439,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
12,2016-11-22 07:17:05.250113,192.168.1.230,54.165.61.246,6,46618,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
13,2016-11-22 07:17:05.656976,192.168.1.230,52.54.203.214,6,60637,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
14,2016-11-22 07:17:05.693209,192.168.1.230,52.2.54.181,6,52722,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:m.canaryis.com dst-port:443
15,2016-11-22 07:17:06.245134,192.168.1.230,54.165.61.246,6,46620,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
16,2016-11-22 07:17:10.814112,192.168.1.230,34.192.134.11,6,40252,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:v.canaryis.com dst-port:443
17,2016-11-22 07:17:22.50082,192.168.1.230,52.54.203.214,6,60641,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
18,2016-11-22 07:18:08.575642,192.168.1.230,52.21.111.134,6,41496,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
19,2016-11-22 07:19:09.963222,192.168.1.230,52.1.194.73,6,48279,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
20,2016-11-22 07:20:11.168192,192.168.1.230,52.3.166.36,6,54464,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
21,2016-11-22 07:21:12.253375,192.168.1.230,52.71.65.22,6,38715,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
22,2016-11-22 07:22:12.816169,192.168.1.230,52.4.117.212,6,44879,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
23,2016-11-22 07:23:13.95686,192.168.1.230,52.4.117.212,6,44880,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
24,2016-11-22 07:24:02.94804,192.168.1.230,54.236.172.1,6,37432,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
25,2016-11-22 07:24:14.506201,192.168.1.230,52.21.111.134,6,41503,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
26,2016-11-22 07:25:15.448882,192.168.1.230,52.6.77.172,6,50590,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
27,2016-11-22 07:26:03.112651,192.168.1.230,54.165.186.166,6,55300,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
28,2016-11-22 07:26:16.448723,192.168.1.230,52.21.111.134,6,41506,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
29,2016-11-22 07:27:17.679898,192.168.1.230,52.3.166.36,6,54473,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
30,2016-11-22 07:28:18.872731,192.168.1.230,52.71.65.22,6,38724,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
31,2016-11-22 07:29:20.447134,192.168.1.230,52.6.77.172,6,50595,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
32,2016-11-22 07:30:20.966008,192.168.1.230,52.4.117.212,6,44889,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
33,2016-11-22 07:31:25.366032,192.168.1.230,52.3.166.36,6,54477,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
34,2016-11-22 07:32:11.382538,192.168.1.230,52.0.14.180,6,58144,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
35,2016-11-22 07:32:26.352832,192.168.1.230,52.21.111.134,6,41513,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
36,2016-11-22 07:33:27.345722,192.168.1.230,52.1.194.73,6,48296,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
37,2016-11-22 07:34:28.470393,192.168.1.230,52.4.117.212,6,44894,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
38,2016-11-22 07:35:29.478585,192.168.1.230,52.71.65.22,6,38732,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
39,2016-11-22 07:36:30.476075,192.168.1.230,52.1.194.73,6,48299,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
40,2016-11-22 07:37:31.544427,192.168.1.230,52.6.77.172,6,50604,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
41,2016-11-22 07:37:31.698027,192.168.1.230,107.21.59.190,6,53468,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
42,2016-11-22 07:38:33.055439,192.168.1.230,52.21.111.134,6,41520,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
43,2016-11-22 07:39:34.265633,192.168.1.230,52.4.117.212,6,44900,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
44,2016-11-22 07:40:34.737102,192.168.1.230,52.71.65.22,6,38738,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
45,2016-11-22 07:41:35.653527,192.168.1.230,52.3.166.36,6,54489,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
46,2016-11-22 07:42:36.646376,192.168.1.230,52.71.65.22,6,38740,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
47,2016-11-22 07:43:37.176129,192.168.1.230,52.3.166.36,6,54491,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
48,2016-11-22 07:44:38.229016,192.168.1.230,52.4.117.212,6,44905,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
49,2016-11-22 07:45:39.274681,192.168.1.230,52.6.77.172,6,50613,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
50,2016-11-22 07:46:40.344409,192.168.1.230,52.3.166.36,6,54494,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
51,2016-11-22 07:47:06.313265,192.168.1.230,54.173.8.214,6,55785,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
52,2016-11-22 07:47:22.063556,192.168.1.230,107.21.59.190,6,53468,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
53,2016-11-22 07:47:25.735,192.168.1.230,52.71.53.168,6,59489,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
54,2016-11-22 07:47:40.828518,192.168.1.230,52.3.166.36,6,54497,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
55,2016-11-22 07:48:42.076483,192.168.1.230,52.4.117.212,6,44911,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
56,2016-11-22 07:49:47.468174,192.168.1.230,52.4.117.212,6,44912,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
57,2016-11-22 07:50:48.498627,192.168.1.230,52.3.166.36,6,54500,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
58,2016-11-22 07:51:53.183168,192.168.1.230,52.71.65.22,6,38751,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
59,2016-11-22 07:52:54.143561,192.168.1.230,52.71.65.22,6,38752,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
60,2016-11-22 07:53:58.73159,192.168.1.230,52.4.117.212,6,44916,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
61,2016-11-22 07:55:04.620539,192.168.1.230,52.1.194.73,6,48320,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
62,2016-11-22 07:56:05.609384,192.168.1.230,52.71.65.22,6,38755,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
63,2016-11-22 07:56:16.543383,192.168.1.230,52.71.53.168,6,59489,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
64,2016-11-22 07:56:21.566715,192.168.1.230,52.73.60.46,6,42106,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
65,2016-11-22 07:57:06.766541,192.168.1.230,52.6.77.172,6,50627,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
66,2016-11-22 07:57:58.933305,192.168.1.230,52.7.194.56,6,37182,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
67,2016-11-22 07:58:07.821092,192.168.1.230,52.3.166.36,6,54509,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
68,2016-11-22 07:59:09.154041,192.168.1.230,52.21.111.134,6,41544,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
69,2016-11-22 08:00:10.115312,192.168.1.230,52.1.194.73,6,48327,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
70,2016-11-22 08:00:40.846618,192.168.1.230,52.7.194.56,6,37182,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
71,2016-11-22 08:00:41.122503,192.168.1.230,52.71.53.168,6,59505,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
72,2016-11-22 08:01:10.574761,192.168.1.230,52.1.194.73,6,48329,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
73,2016-11-22 08:02:11.610621,192.168.1.230,52.21.111.134,6,41548,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
74,2016-11-22 08:03:12.668933,192.168.1.230,52.71.65.22,6,38765,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
75,2016-11-22 08:04:13.84144,192.168.1.230,52.1.194.73,6,48332,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
76,2016-11-22 08:05:14.906504,192.168.1.230,52.4.117.212,6,44930,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
77,2016-11-22 08:06:16.145425,192.168.1.230,52.1.194.73,6,48334,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
78,2016-11-22 08:07:16.693126,192.168.1.230,52.21.111.134,6,41553,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
79,2016-11-22 08:08:17.915991,192.168.1.230,52.4.117.212,6,44933,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
80,2016-11-22 08:08:41.605129,192.168.1.230,54.208.48.151,6,43309,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
81,2016-11-22 08:09:19.130921,192.168.1.230,52.3.166.36,6,54522,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
82,2016-11-22 08:10:20.153493,192.168.1.230,52.3.166.36,6,54523,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
83,2016-11-22 08:11:21.102574,192.168.1.230,52.1.194.73,6,48340,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
84,2016-11-22 08:12:21.607631,192.168.1.230,52.4.117.212,6,44938,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
85,2016-11-22 08:13:22.60401,192.168.1.230,52.1.194.73,6,48342,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
86,2016-11-22 08:13:57.621057,192.168.1.230,54.208.48.151,6,43309,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
87,2016-11-22 08:14:01.938344,192.168.1.230,52.3.22.97,6,58367,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
88,2016-11-22 08:14:23.68,192.168.1.230,52.1.194.73,6,48344,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
89,2016-11-22 08:15:24.915684,192.168.1.230,52.71.65.22,6,38779,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
90,2016-11-22 08:16:26.050234,192.168.1.230,52.3.166.36,6,54530,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
91,2016-11-22 08:17:07.181118,192.168.1.230,54.236.69.45,6,45566,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:h.canaryis.com dst-port:80
92,2016-11-22 08:17:27.328351,192.168.1.230,52.21.111.134,6,41566,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
93,2016-11-22 08:18:10.141681,192.168.1.230,52.0.14.180,6,58199,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
94,2016-11-22 08:18:28.625992,192.168.1.230,52.4.117.212,6,44947,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
95,2016-11-22 08:19:29.892671,192.168.1.230,52.71.65.22,6,38785,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
96,2016-11-22 08:20:30.781025,192.168.1.230,52.71.65.22,6,38786,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
97,2016-11-22 08:21:31.792011,192.168.1.230,52.3.166.36,6,54537,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
98,2016-11-22 08:22:16.039212,192.168.1.230,52.0.14.180,6,58199,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
99,2016-11-22 08:22:16.292853,192.168.1.230,52.4.128.213,6,45640,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
100,2016-11-22 08:22:32.797002,192.168.1.230,52.6.77.172,6,50659,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
101,2016-11-22 08:23:33.799577,192.168.1.230,52.4.117.212,6,44953,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
102,2016-11-22 08:24:34.79346,192.168.1.230,52.71.65.22,6,38791,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
103,2016-11-22 08:25:35.787603,192.168.1.230,52.4.117.212,6,44955,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
104,2016-11-22 08:26:36.735248,192.168.1.230,52.4.117.212,6,44956,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
105,2016-11-22 08:27:37.783891,192.168.1.230,52.3.166.36,6,54544,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
106,2016-11-22 08:28:39.070645,192.168.1.230,52.3.166.36,6,54545,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
107,2016-11-22 08:29:40.31091,192.168.1.230,52.3.166.36,6,54546,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
108,2016-11-22 08:30:41.387457,192.168.1.230,52.4.117.212,6,44960,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
109,2016-11-22 08:31:42.434509,192.168.1.230,52.1.194.73,6,48364,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
110,2016-11-22 08:32:28.653046,192.168.1.230,52.4.128.213,6,45640,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
111,2016-11-22 08:32:28.918496,192.168.1.230,52.54.222.58,6,36556,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:i.canaryis.com dst-port:443
112,2016-11-22 08:32:43.484138,192.168.1.230,52.4.117.212,6,44963,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:b.canaryis.com dst-port:443
