flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-09-30 19:39:17.680214,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
2,2016-09-30 19:40:03.726383,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
3,2016-09-30 19:52:10.5376,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
4,2016-09-30 19:59:37.051775,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
5,2016-09-30 20:02:26.313159,192.168.1.177,192.168.1.1,17,50126,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
6,2016-09-30 20:02:26.318525,192.168.1.177,192.168.1.1,17,39977,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
7,2016-09-30 20:02:26.320193,192.168.1.177,192.168.1.1,17,52673,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
8,2016-09-30 20:02:26.337763,192.168.1.177,192.168.1.1,17,44538,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
9,2016-09-30 20:02:26.339558,192.168.1.177,192.168.1.1,17,43568,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
10,2016-09-30 20:02:27.647347,192.168.1.177,176.31.232.79,6,60411,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.pix-star.com dst-port:443
11,2016-09-30 20:04:03.379296,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
12,2016-09-30 20:16:10.160795,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
13,2016-09-30 20:19:50.413361,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
14,2016-09-30 20:28:22.991268,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
15,2016-09-30 20:40:03.778465,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
16,2016-09-30 20:40:29.803267,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
17,2016-09-30 20:50:26.30914,192.168.1.177,192.168.1.1,17,40203,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
18,2016-09-30 20:50:26.314043,192.168.1.177,192.168.1.1,17,43510,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
19,2016-09-30 20:50:26.316245,192.168.1.177,192.168.1.1,17,54554,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
20,2016-09-30 20:50:26.317856,192.168.1.177,192.168.1.1,17,54817,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
21,2016-09-30 20:50:26.486315,192.168.1.177,192.168.1.1,17,37137,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
22,2016-09-30 20:50:31.513657,192.168.1.177,176.31.232.79,6,60412,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.pix-star.com dst-port:443
23,2016-09-30 20:52:35.634721,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
24,2016-09-30 21:00:22.1676,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
25,2016-09-30 21:04:28.456623,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
26,2016-09-30 21:16:35.29797,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
27,2016-09-30 21:20:35.549551,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
28,2016-09-30 21:28:48.088957,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
29,2016-09-30 21:38:27.287455,192.168.1.177,192.168.1.1,17,44916,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
30,2016-09-30 21:38:27.292399,192.168.1.177,192.168.1.1,17,59481,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
31,2016-09-30 21:38:27.294223,192.168.1.177,192.168.1.1,17,59202,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
32,2016-09-30 21:38:27.295759,192.168.1.177,192.168.1.1,17,60142,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
33,2016-09-30 21:38:27.29736,192.168.1.177,192.168.1.1,17,43467,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
34,2016-09-30 21:38:33.080557,192.168.1.177,176.31.232.79,6,60413,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.pix-star.com dst-port:443
35,2016-09-30 21:40:48.910581,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
36,2016-09-30 21:40:48.911534,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
37,2016-09-30 21:52:41.712469,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
38,2016-09-30 22:01:09.291804,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
39,2016-09-30 22:04:54.553629,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
40,2016-09-30 22:17:01.365126,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
41,2016-09-30 22:21:21.692912,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
42,2016-09-30 22:26:26.259966,192.168.1.177,192.168.1.1,17,33679,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
43,2016-09-30 22:26:31.27497,192.168.1.177,192.168.1.1,17,54818,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
44,2016-09-30 22:26:31.27669,192.168.1.177,192.168.1.1,17,46753,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
45,2016-09-30 22:26:31.283692,192.168.1.177,192.168.1.1,17,43017,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
46,2016-09-30 22:26:31.285311,192.168.1.177,192.168.1.1,17,55729,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
47,2016-09-30 22:26:35.677283,192.168.1.177,176.31.232.79,6,60414,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.pix-star.com dst-port:443
48,2016-09-30 22:28:54.128088,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
49,2016-09-30 22:40:54.950601,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
50,2016-09-30 22:41:34.977665,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
51,2016-09-30 22:53:07.760138,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
52,2016-09-30 23:01:54.361583,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
53,2016-09-30 23:05:00.562068,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
54,2016-09-30 23:14:27.261124,192.168.1.177,192.168.1.1,17,38716,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
55,2016-09-30 23:14:31.108729,192.168.1.177,192.168.1.1,17,49721,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
56,2016-09-30 23:14:31.110423,192.168.1.177,192.168.1.1,17,41747,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
57,2016-09-30 23:14:31.111935,192.168.1.177,192.168.1.1,17,60446,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
58,2016-09-30 23:14:31.114092,192.168.1.177,192.168.1.1,17,35255,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
59,2016-09-30 23:14:36.213701,192.168.1.177,176.31.232.79,6,60415,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:api.pix-star.com dst-port:443
60,2016-09-30 23:17:07.353548,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
61,2016-09-30 23:22:07.701694,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
62,2016-09-30 23:29:20.188412,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
63,2016-09-30 23:41:20.986495,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
64,2016-09-30 23:42:21.052424,192.168.1.177,127.0.0.1,17,137,137,egress,True,,egress ipv4 udp dst:127.0.0.1/32 dst-port:137
65,2016-09-30 23:53:13.787313,192.168.1.177,192.168.1.255,17,138,138,egress,True,,egress ipv4 udp dst:192.168.1.255/32 dst-port:138
66,2016-10-01 00:02:26.267794,192.168.1.177,192.168.1.1,17,57166,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
