flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2017-03-07 11:07:32.459208,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
2,2017-03-07 11:07:35.215812,192.168.1.221,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
3,2017-03-07 11:07:38.737084,192.168.1.221,192.168.1.1,17,50019,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
4,2017-03-07 11:07:39.089042,192.168.1.221,45.127.113.2,17,64334,123,egress,True,,egress ipv4 udp dst:2.pool.ntp.org dst-port:123
5,2017-03-07 11:07:41.542229,192.168.1.221,52.205.153.193,6,63505,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
6,2017-03-07 11:07:46.538673,192.168.1.221,52.205.153.193,6,61213,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
7,2017-03-07 11:08:03.409003,192.168.1.221,52.205.153.193,6,54537,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
8,2017-03-14 06:06:21.597275,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
9,2017-03-14 06:06:24.103628,192.168.1.221,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
10,2017-03-14 06:06:27.623524,192.168.1.221,192.168.1.1,17,58349,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
11,2017-03-14 06:06:27.885666,192.168.1.221,27.124.125.251,17,60841,123,egress,True,,egress ipv4 udp dst:2.pool.ntp.org dst-port:123
12,2017-03-14 06:06:29.366103,192.168.1.221,54.210.10.156,6,51631,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
13,2017-03-14 06:06:32.914621,192.168.1.221,54.210.10.156,6,61130,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
14,2017-03-14 06:06:49.370759,192.168.1.221,54.210.10.156,6,55784,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
15,2017-03-24 12:06:12.410424,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
16,2017-03-24 12:06:15.163838,192.168.1.221,192.168.1.1,17,68,67,ingress,False,,ingress ipv4 udp src:192.168.1.1/32 src-port:67
17,2017-03-24 12:06:18.721134,192.168.1.221,192.168.1.1,17,62553,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
18,2017-03-24 12:06:19.046295,192.168.1.221,27.124.125.252,17,51476,123,egress,True,,egress ipv4 udp dst:2.pool.ntp.org dst-port:123
19,2017-03-24 12:06:20.676391,192.168.1.221,54.210.10.156,6,51285,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
20,2017-03-24 12:06:23.780181,192.168.1.221,54.210.10.156,6,52521,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
21,2017-03-24 12:06:40.144768,192.168.1.221,54.210.10.156,6,53857,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
22,2017-03-24 12:07:21.064806,192.168.1.221,54.210.10.156,6,53782,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
23,2017-03-24 12:07:26.363268,192.168.1.221,54.210.10.156,6,64765,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
24,2017-03-24 12:08:31.45436,0.0.0.0,255.255.255.255,17,68,67,egress,True,,egress ipv4 udp dst:255.255.255.255/32 dst-port:67
25,2017-03-24 12:08:33.479777,192.168.1.221,192.168.1.1,17,55495,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
26,2017-03-24 12:08:34.110171,192.168.1.221,202.60.94.15,17,59230,123,egress,True,,egress ipv4 udp dst:2.pool.ntp.org dst-port:123
27,2017-03-24 12:08:34.633352,192.168.1.221,52.205.153.193,6,49301,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
28,2017-03-24 12:08:36.720176,192.168.1.221,52.205.153.193,6,58802,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
29,2017-03-24 12:08:38.692219,192.168.1.221,52.205.153.193,6,62105,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:443
30,2017-03-24 12:08:40.747029,192.168.1.221,52.201.5.235,6,59209,443,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:es.ring.com dst-port:443
31,2017-03-24 12:16:10.753393,192.168.1.221,52.205.153.193,6,58447,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:fw.ring.com dst-port:80
32,2017-03-24 12:16:11.117751,192.168.1.221,52.221.139.217,17,15063,15063,egress,True,,egress ipv4 udp dst:52.221.139.217/32 dst-port:15063
33,2017-03-24 12:16:11.324401,192.168.1.221,52.221.139.217,17,51504,32954,egress,True,,egress ipv4 udp dst:52.221.139.217/32 dst-port:32954
34,2017-03-24 12:16:17.216725,192.168.1.221,52.221.139.217,17,51506,50686,egress,True,,egress ipv4 udp dst:52.221.139.217/32 dst-port:50686
35,2017-03-24 12:17:26.153661,192.168.1.221,192.168.1.1,17,51816,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
