flow_idx,first_seen,device_ip,remote_ip,ip_protocol,device_port,remote_port,direction,device_initiated,tcp_initiated_by_device,runtime_ace
1,2016-09-30 19:30:51.810757,192.168.1.143,54.254.250.149,6,56898,50443,egress,True,,egress ipv4 tcp (direction-initiated:from-device) dst:devs.tplinkcloud.com dst-port:50443
2,2016-09-30 19:31:33.231307,192.168.1.143,52.76.51.215,17,20531,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
3,2016-09-30 19:31:33.246316,192.168.1.143,52.76.51.215,17,20532,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
4,2016-09-30 19:31:33.407567,192.168.1.143,52.74.225.231,17,20531,3478,egress,True,,egress ipv4 udp dst:52.74.225.231/32 dst-port:3478
5,2016-09-30 19:31:33.454614,192.168.1.143,149.171.37.162,17,20531,20531,egress,True,,egress ipv4 udp dst:149.171.37.162/32 dst-port:20531
6,2016-09-30 19:31:34.785931,192.168.1.143,52.76.51.215,17,20531,8089,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:8089
7,2016-09-30 19:32:52.194522,192.168.1.143,192.168.1.1,17,34266,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
8,2016-09-30 19:32:52.354571,192.168.1.143,54.254.214.94,6,42767,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:aps1-relay.tplinkcloud.com dst-port:80
9,2016-09-30 19:42:52.506799,192.168.1.143,192.168.1.1,17,35926,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
10,2016-09-30 19:42:52.663391,192.168.1.143,52.77.11.250,6,38087,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:aps1-relay.tplinkcloud.com dst-port:80
11,2016-09-30 19:48:34.032478,192.168.1.143,52.76.46.19,17,19605,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
12,2016-09-30 19:48:34.046785,192.168.1.143,52.76.46.19,17,19606,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
13,2016-09-30 19:48:34.194248,192.168.1.143,52.76.40.177,17,19605,3478,egress,True,,egress ipv4 udp dst:52.76.40.177/32 dst-port:3478
14,2016-09-30 19:48:34.238547,192.168.1.143,149.171.37.162,17,19605,19605,egress,True,,egress ipv4 udp dst:149.171.37.162/32 dst-port:19605
15,2016-09-30 19:48:35.57516,192.168.1.143,52.76.46.19,17,19605,8089,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:8089
16,2016-09-30 20:01:33.236762,192.168.1.143,52.76.51.215,17,20531,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
17,2016-09-30 20:01:33.251137,192.168.1.143,52.76.51.215,17,20532,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
18,2016-09-30 20:01:33.391914,192.168.1.143,52.74.225.231,17,20531,3478,egress,True,,egress ipv4 udp dst:52.74.225.231/32 dst-port:3478
19,2016-09-30 20:01:33.438829,192.168.1.143,149.171.37.162,17,20531,20531,egress,True,,egress ipv4 udp dst:149.171.37.162/32 dst-port:20531
20,2016-09-30 20:01:34.76279,192.168.1.143,52.76.51.215,17,20531,8089,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:8089
21,2016-09-30 20:02:52.824376,192.168.1.143,192.168.1.1,17,36978,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
22,2016-09-30 20:02:52.981389,192.168.1.143,52.77.11.250,6,46692,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:aps1-relay.tplinkcloud.com dst-port:80
23,2016-09-30 20:18:44.042312,192.168.1.143,52.76.46.19,17,19605,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
24,2016-09-30 20:18:44.055323,192.168.1.143,52.76.46.19,17,19606,3478,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:3478
25,2016-09-30 20:18:44.190623,192.168.1.143,52.76.40.177,17,19605,3478,egress,True,,egress ipv4 udp dst:52.76.40.177/32 dst-port:3478
26,2016-09-30 20:18:44.243253,192.168.1.143,149.171.37.162,17,19605,19605,egress,True,,egress ipv4 udp dst:149.171.37.162/32 dst-port:19605
27,2016-09-30 20:18:45.563688,192.168.1.143,52.76.46.19,17,19605,8089,egress,True,,egress ipv4 udp dst:sg-stun.tplinkcloud.com dst-port:8089
28,2016-09-30 20:22:53.141744,192.168.1.143,192.168.1.1,17,56756,53,egress,True,,egress ipv4 udp dst:192.168.1.1/32 dst-port:53
29,2016-09-30 20:22:53.298527,192.168.1.143,52.77.11.250,6,47602,80,egress,True,True,egress ipv4 tcp (direction-initiated:from-device) dst:aps1-relay.tplinkcloud.com dst-port:80
