method,method_label,top_n,covered_devices,devices,topn_coverage,ccdf_miss_fraction
exact,Exact tuple,1,25,27,0.9259259259259259,0.07407407407407407
exact,Exact tuple,2,27,27,1.0,0.0
exact,Exact tuple,3,27,27,1.0,0.0
exact,Exact tuple,4,27,27,1.0,0.0
exact,Exact tuple,5,27,27,1.0,0.0
exact,Exact tuple,6,27,27,1.0,0.0
exact,Exact tuple,7,27,27,1.0,0.0
exact,Exact tuple,8,27,27,1.0,0.0
exact,Exact tuple,9,27,27,1.0,0.0
exact,Exact tuple,10,27,27,1.0,0.0
exact,Exact tuple,11,27,27,1.0,0.0
exact,Exact tuple,12,27,27,1.0,0.0
exact,Exact tuple,13,27,27,1.0,0.0
exact,Exact tuple,14,27,27,1.0,0.0
exact,Exact tuple,15,27,27,1.0,0.0
exact,Exact tuple,16,27,27,1.0,0.0
exact,Exact tuple,17,27,27,1.0,0.0
exact,Exact tuple,18,27,27,1.0,0.0
exact,Exact tuple,19,27,27,1.0,0.0
exact,Exact tuple,20,27,27,1.0,0.0
exact,Exact tuple,21,27,27,1.0,0.0
exact,Exact tuple,22,27,27,1.0,0.0
exact,Exact tuple,23,27,27,1.0,0.0
exact,Exact tuple,24,27,27,1.0,0.0
exact,Exact tuple,25,27,27,1.0,0.0
exact,Exact tuple,26,27,27,1.0,0.0
exact,Exact tuple,27,27,27,1.0,0.0
exact,Exact tuple,28,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,1,24,27,0.8888888888888888,0.11111111111111116
semantic_w256,ACE-level MaxSim,2,24,27,0.8888888888888888,0.11111111111111116
semantic_w256,ACE-level MaxSim,3,25,27,0.9259259259259259,0.07407407407407407
semantic_w256,ACE-level MaxSim,4,25,27,0.9259259259259259,0.07407407407407407
semantic_w256,ACE-level MaxSim,5,25,27,0.9259259259259259,0.07407407407407407
semantic_w256,ACE-level MaxSim,6,25,27,0.9259259259259259,0.07407407407407407
semantic_w256,ACE-level MaxSim,7,26,27,0.9629629629629629,0.03703703703703709
semantic_w256,ACE-level MaxSim,8,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,9,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,10,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,11,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,12,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,13,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,14,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,15,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,16,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,17,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,18,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,19,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,20,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,21,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,22,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,23,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,24,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,25,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,26,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,27,27,27,1.0,0.0
semantic_w256,ACE-level MaxSim,28,27,27,1.0,0.0
