method,method_label,top_n_bucket,queries,covered_queries,topn_probability
exact_hit_count_duplicate,Hit-Count (exact matching),1,213542,198805,0.9309878150434108
exact_hit_count_duplicate,Hit-Count (exact matching),2,213542,204881,0.9594412340429518
exact_hit_count_duplicate,Hit-Count (exact matching),3,213542,211030,0.988236506167405
exact_hit_count_duplicate,Hit-Count (exact matching),4,213542,211031,0.9882411890869244
exact_hit_count_duplicate,Hit-Count (exact matching),5,213542,211049,0.9883254816382726
exact_hit_count_duplicate,Hit-Count (exact matching),>5,213542,213542,1.0
exact_jaccard,Jaccard (exact matching),1,213542,168251,0.7879058920493393
exact_jaccard,Jaccard (exact matching),2,213542,189004,0.885090520834309
exact_jaccard,Jaccard (exact matching),3,213542,194710,0.9118112596116924
exact_jaccard,Jaccard (exact matching),4,213542,196078,0.9182174935141564
exact_jaccard,Jaccard (exact matching),5,213542,200916,0.9408734581487482
exact_jaccard,Jaccard (exact matching),>5,213542,213542,1.0
semantic_w256,MaxSim (semantic matching),1,213542,175142,0.8201758904571466
semantic_w256,MaxSim (semantic matching),2,213542,182259,0.8535042286763259
semantic_w256,MaxSim (semantic matching),3,213542,202282,0.9472703262121736
semantic_w256,MaxSim (semantic matching),4,213542,202295,0.9473312041659252
semantic_w256,MaxSim (semantic matching),5,213542,202316,0.9474295454758316
semantic_w256,MaxSim (semantic matching),>5,213542,213542,1.0
