method,method_label,rank,best_rank_count,conservative_rank_count,queries,best_rank_fraction,conservative_rank_fraction
exact,Exact tuple,1,760499,758816,811769,0.9368416384464053,0.9347683885440317
exact,Exact tuple,2,51267,45051,811769,0.06315466592097013,0.05549731512289826
exact,Exact tuple,3,0,0,811769,0.0,0.0
exact,Exact tuple,4,0,1,811769,0.0,1.2318775415173529e-06
exact,Exact tuple,5,3,18,811769,3.6956326245520584e-06,2.2173795747312352e-05
exact,Exact tuple,6,0,0,811769,0.0,0.0
exact,Exact tuple,7,0,0,811769,0.0,0.0
exact,Exact tuple,8,0,5995,811769,0.0,0.00738510586139653
exact,Exact tuple,9,0,0,811769,0.0,0.0
exact,Exact tuple,10,0,2,811769,0.0,2.4637550830347057e-06
exact,Exact tuple,11,0,0,811769,0.0,0.0
exact,Exact tuple,12,0,0,811769,0.0,0.0
exact,Exact tuple,13,0,0,811769,0.0,0.0
exact,Exact tuple,14,0,0,811769,0.0,0.0
exact,Exact tuple,15,0,0,811769,0.0,0.0
exact,Exact tuple,16,0,0,811769,0.0,0.0
exact,Exact tuple,17,0,0,811769,0.0,0.0
exact,Exact tuple,18,0,0,811769,0.0,0.0
exact,Exact tuple,19,0,0,811769,0.0,0.0
exact,Exact tuple,20,0,0,811769,0.0,0.0
exact,Exact tuple,21,0,0,811769,0.0,0.0
exact,Exact tuple,22,0,0,811769,0.0,0.0
exact,Exact tuple,23,0,0,811769,0.0,0.0
exact,Exact tuple,24,0,0,811769,0.0,0.0
exact,Exact tuple,25,0,0,811769,0.0,0.0
exact,Exact tuple,26,0,0,811769,0.0,0.0
exact,Exact tuple,27,0,0,811769,0.0,0.0
exact,Exact tuple,28,0,1886,811769,0.0,0.0023233210433017274
semantic_w256,ACE-level MaxSim,1,666907,666905,811769,0.8215477555807132,0.8215452918256302
semantic_w256,ACE-level MaxSim,2,7345,7324,811769,0.009048140542444957,0.009022271114073091
semantic_w256,ACE-level MaxSim,3,74665,74672,811769,0.09197813663739315,0.09198675978018377
semantic_w256,ACE-level MaxSim,4,11620,11621,811769,0.01431441703243164,0.014315648909973158
semantic_w256,ACE-level MaxSim,5,20,21,811769,2.4637550830347058e-05,2.586942837186441e-05
semantic_w256,ACE-level MaxSim,6,12,13,811769,1.4782530498208234e-05,1.6014408039725587e-05
semantic_w256,ACE-level MaxSim,7,415,415,811769,0.0005112291797297015,0.0005112291797297015
semantic_w256,ACE-level MaxSim,8,50761,50765,811769,0.06253133588496235,0.06253626339512841
semantic_w256,ACE-level MaxSim,9,5,4,811769,6.1593877075867645e-06,4.9275101660694115e-06
semantic_w256,ACE-level MaxSim,10,2,3,811769,2.4637550830347057e-06,3.6956326245520584e-06
semantic_w256,ACE-level MaxSim,11,0,1,811769,0.0,1.2318775415173529e-06
semantic_w256,ACE-level MaxSim,12,5,1,811769,6.1593877075867645e-06,1.2318775415173529e-06
semantic_w256,ACE-level MaxSim,13,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,14,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,15,3,3,811769,3.6956326245520584e-06,3.6956326245520584e-06
semantic_w256,ACE-level MaxSim,16,1,1,811769,1.2318775415173529e-06,1.2318775415173529e-06
semantic_w256,ACE-level MaxSim,17,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,18,3,0,811769,3.6956326245520584e-06,0.0
semantic_w256,ACE-level MaxSim,19,2,2,811769,2.4637550830347057e-06,2.4637550830347057e-06
semantic_w256,ACE-level MaxSim,20,2,2,811769,2.4637550830347057e-06,2.4637550830347057e-06
semantic_w256,ACE-level MaxSim,21,1,1,811769,1.2318775415173529e-06,1.2318775415173529e-06
semantic_w256,ACE-level MaxSim,22,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,23,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,24,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,25,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,26,0,0,811769,0.0,0.0
semantic_w256,ACE-level MaxSim,27,0,12,811769,0.0,1.4782530498208234e-05
semantic_w256,ACE-level MaxSim,28,0,3,811769,0.0,3.6956326245520584e-06
