device_name,gt_mud,runtime_feature_count,mud_feature_count,overlap_feature_count,union_feature_count,jaccard_similarity,dynamic_similarity,static_similarity,exact_final_prediction,exact_final_correct,semantic_final_prediction,semantic_final_correct,semantic_gt_rank,semantic_gt_mean_score,semantic_top_mean_score,semantic_best_competitor_mean_score,semantic_gt_margin_mean_score,semantic_margin_mean_score,semantic_top_device_from_scores
NestProtect,nestsmokesensorMud_compact,49041,52,5,49088,0.00010185788787483703,0.00010195550661691238,0.09615384615384616,nestsmokesensorMud_compact,True,nestsmokesensorMud_compact,True,1,0.26769494140625,0.26769494140625,0.19249109375,0.07520384765625,0.07520384765625,nestsmokesensorMud_compact
HPPrinter,hpprinterMud_compact,3089,19,8,3100,0.0025806451612903226,0.002589834898025251,0.42105263157894735,hpprinterMud_compact,True,hpprinterMud_compact,True,1,0.34793136276942377,0.34793136276942377,0.24285859394723555,0.1050727688221882,0.1050727688221882,hpprinterMud_compact
TPLinkCamera,tplinkcameraMud_compact,293,14,9,298,0.030201342281879196,0.030716723549488054,0.6428571428571429,tplinkcameraMud_compact,True,tplinkcameraMud_compact,True,1,0.5344962096210591,0.5344962096210591,0.2008919038282342,0.33360430579282496,0.33360430579282496,tplinkcameraMud_compact
SamsungCamera,samsungsmartcamMud_compact,247,13,9,251,0.035856573705179286,0.03643724696356275,0.6923076923076923,samsungsmartcamMud_compact,True,samsungsmartcamMud_compact,True,1,0.5622956640625,0.5622956640625,0.5228551171875,0.039440546875,0.039440546875,samsungsmartcamMud_compact
BelkinCamera,belkincameraMud_compact,214,12,10,216,0.046296296296296294,0.04672897196261682,0.8333333333333334,belkincameraMud_compact,True,belkincameraMud_compact,True,1,0.4378953515625,0.4378953515625,0.420160390625,0.0177349609375,0.0177349609375,belkincameraMud_compact
PhilipsHue,HueBulbMud_compact,64,20,10,74,0.13513513513513514,0.15625,0.5,HueBulbMud_compact,True,HueBulbMud_compact,True,1,0.78519421875,0.78519421875,0.67993171875,0.1052625,0.1052625,HueBulbMud_compact
BelkinWemoSwitch,wemoswitchMud_compact,28,10,6,32,0.1875,0.21428571428571427,0.6,wemomotionMud_compact,False,wemomotionMud_compact,False,3,0.255448515625,0.327425,0.327425,-0.071976484375,0.07073908203125,wemomotionMud_compact
PixStarPhotoFrame,pixstarphotoframeMud_compact,30,8,7,31,0.22580645161290322,0.23333333333333334,0.875,pixstarphotoframeMud_compact,True,pixstarphotoframeMud_compact,True,1,0.3692044509830971,0.3692044509830971,0.2418589085008132,0.1273455424822839,0.1273455424822839,pixstarphotoframeMud_compact
BelkinWemoMotionSensor,wemomotionMud_compact,21,11,6,26,0.23076923076923078,0.2857142857142857,0.5454545454545454,wemomotionMud_compact,True,wemomotionMud_compact,True,1,0.353435234375,0.353435234375,0.2853807421875,0.0680544921875,0.0680544921875,wemomotionMud_compact
AugustDoorBell,augustdoorbellcamMud_compact,21,30,11,40,0.275,0.5238095238095238,0.36666666666666664,augustdoorbellcamMud_compact,True,augustdoorbellcamMud_compact,True,1,0.504628203125,0.504628203125,0.2215662109375,0.2830619921875,0.2830619921875,augustdoorbellcamMud_compact
